1.89			1.14				
1.89			1.25				
1.96			1.20				
1.90			1.22				
1.81			1.19				
1.83			1.37				
1.86			1.32				
1.81			1.32				
1.87			1.27				
2.21			1.35				
2.37			1.27				
2.16			1.19				
2.01			1.07				
1.86			0.92				
1.71			0.84				
1.59			0.77				
1.50			0.69				
1.41			0.62				
1.35			0.55				
1.34			0.62				
1.32			0.45				
1.25			0.50				
1.29			0.45				
1.54			0.71				
1.78			0.68				
1.72			0.68				
1.64			0.75				
1.57			0.81				
1.59			0.68				
1.50			0.63				
1.39			0.55				
1.41			0.53				
1.53			0.70				
1.57			0.77				
1.67			0.90				
1.70			0.94				
1.70			0.85				
1.68			0.87				
1.67			0.91				
1.71			0.92				
1.63			0.78				
1.50			0.92				
1.49			0.73				
1.48			0.74				
1.57			0.85				
1.54			0.85				
1.59			0.91				
1.60			0.85				
1.68			0.85				
1.81			0.98				
1.80			1.02				
1.70			0.93				
1.71			1.17				
1.74			1.43				
1.74			1.49				
1.70			1.68				
1.73			1.91				
1.80			2.18				
1.78			1.91				
1.86			1.71				
1.82			1.47				
1.74			1.35				
1.75			1.24				
1.80			1.27				
1.85			1.31				
1.86			1.24				
1.86			1.32				
1.91			1.22				
2.00			1.04				
1.96			1.18				
1.92			1.15				
1.92			1.03				
1.90			0.98				
1.83			1.06				
1.78			1.01				
1.85			1.12				
1.86			1.02				
1.86			1.06				
2.02			1.23				
2.02			1.54				
1.92			1.32				
1.83			1.29				
1.65			1.10				
1.53			0.98				
1.57			0.92				
1.57			1.12				
1.63			1.10				
1.61			1.15				
1.64			0.97				
1.60			0.91				
1.54			0.83				
1.49			0.94				
1.54			1.07				
1.60			1.40				
1.65			1.47				
1.82			1.47				
1.96			1.42				
1.92			1.44				
1.93			1.33				
2.03			1.46				
2.12			1.44				
2.03			1.28				
1.96			1.00				
2.07			1.27				
2.20			1.37				
2.20			1.44				
2.02			1.35				
1.96			1.44				
1.88			1.50				
1.80			1.41				
1.77			1.23				
1.63			1.11				
1.53			0.98				
1.44			0.92				
1.38			0.80				
1.29			0.73				
1.27			0.65				
1.22			0.56				
1.34			0.67				
1.59			0.80				
1.60			0.81				
1.62			0.95				
1.57			0.92				
1.48			0.87				
1.44			0.76				
1.50			0.92				
1.53			0.80				
1.44			0.77				
1.39			0.64				
1.33			0.65				
1.29			0.56				
1.25			0.56				
1.19			0.50				
1.18			0.47				
1.26			0.47				
1.20			0.47				
1.19			0.38				
1.23			0.43				
1.29			0.50				
1.37			0.54				
1.35			0.51				
1.33			0.56				
1.29			0.51				
1.26			0.48				
1.33			0.44				
1.41			0.45				
1.39			0.40				
1.33			0.45				
1.34			0.32				
1.39			0.58				
1.39			0.44				
1.29			0.50				
1.25			0.43				
1.38			0.51				
1.60			0.82				
1.62			0.84				
1.54			0.73				
1.42			0.67				
1.35			0.54				
1.27			0.56				
1.25			0.46				
1.23			0.45				
1.17			0.38				
1.12			0.31				
1.14			0.30				
1.17			0.35				
1.26			0.54				
1.37			0.68				
1.46			0.74				
1.51			0.91				
1.51			0.86				
1.49			0.99				
1.50			0.89				
1.55			1.07				
1.63			1.00				
1.72			1.18				
1.64			1.24				
1.62			1.68				
1.60			2.08				
1.63			2.01				
1.62			1.79				
1.51			1.65				
1.52			1.54				
1.55			1.53				
1.50			1.30				
1.44			1.20				
1.41			1.05				
1.35			0.95				
1.31			0.85				
1.27			0.83				
1.23			0.70				
1.22			0.73				
1.23			0.75				
1.23			0.88				
1.18			0.70				
1.14			0.72				
1.15			0.61				
1.26			0.65				
1.52			1.01				
1.72			1.19				
1.71			1.24				
1.57			1.18				
1.51			1.02				
1.54			1.11				
1.55			0.98				
1.48			1.04				
1.42			0.88				
1.35			0.83				
1.27			0.74				
1.22			0.67				
1.20			0.56				
1.25			0.84				
1.23			0.88				
1.23			0.86				
1.29			0.74				
1.41			0.81				
1.58			0.97				
1.66			1.10				
1.50			0.98				
1.39			0.91				
1.31			0.74				
1.27			0.73				
1.23			0.64				
1.20			0.67				
1.18			0.85				
1.20			1.02				
1.22			1.03				
1.18			0.93				
1.26			0.78				
1.44			0.78				
1.51			0.78				
1.52			0.75				
1.49			0.75				
1.38			0.75				
1.33			0.64				
1.26			0.64				
1.20			0.54				
1.18			0.57				
1.13			0.51				
1.07			0.62				
1.01			0.48				
0.99			0.80				
1.09			0.63				
1.08			1.26				
1.11			1.55				
1.12			1.49				
1.21			1.38				
1.29			1.44				
1.23			1.28				
1.20			1.15				
1.15			0.97				
1.13			0.92				
1.28			1.00				
1.52			1.57				
1.74			1.52				
1.80			1.62				
1.77			1.53				
1.80			1.62				
1.70			1.41				
1.68			1.37				
1.63			1.19				
1.54			1.10				
1.53			1.00				
1.71			0.95				
1.75			1.16				
1.62			1.04				
1.57			1.04				
1.48			1.01				
1.45			0.96				
1.58			1.04				
1.76			1.18				
1.87			1.24				
1.87			1.52				
1.79			1.56				
1.86			1.49				
1.81			1.72				
1.83			1.72				
1.99			1.71				
2.11			1.83				
2.06			1.66				
1.94			1.50				
1.86			1.40				
1.83			1.17				
1.74			1.12				
1.72			0.97				
1.81			0.98				
1.80			0.84				
1.76			0.85				
1.79			0.73				
1.71			0.83				
1.69			0.88				
1.56			0.77				
1.43			0.62				
1.37			0.58				
1.35			0.44				
1.31			0.51				
1.27			0.45				
1.25			0.51				
1.22			0.44				
1.16			0.49				
1.15			0.46				
1.13			0.45				
1.15			0.34				
1.27			0.70				
1.37			0.59				
1.62			1.15				
1.68			1.10				
1.55			1.04				
1.48			0.89				
1.42			0.90				
1.38			0.76				
1.38			0.80				
1.43			0.81				
1.52			0.91				
1.55			0.91				
1.58			1.12				
1.65			1.11				
1.54			0.91				
1.52			1.02				
1.60			0.95				
1.60			0.82				
1.57			0.82				
1.56			0.75				
1.59			0.84				
1.53			0.80				
1.46			0.91				
1.48			0.76				
1.44			0.76				
1.44			0.72				
1.41			0.80				
1.33			0.70				
1.26			0.65				
1.18			0.57				
1.18			0.63				
1.23			0.72				
1.22			0.73				
1.23			0.76				
1.25			0.78				
1.25			0.67				
1.23			0.67				
1.23			0.57				
1.22			0.67				
1.18			0.61				
1.16			0.61				
1.12			0.50				
1.13			0.55				
1.18			0.55				
1.20			0.60				
1.26			0.56				
1.30			0.85				
1.29			0.84				
1.29			1.10				
1.39			1.12				
1.45			1.35				
1.49			1.50				
1.52			1.57				
1.59			1.64				
1.73			1.84				
1.89			2.50				
1.92			2.89				
1.91			3.38				
1.92			3.22				
1.85			2.79				
1.73			2.33				
1.62			2.18				
1.54			1.87				
1.46			1.70				
1.61			1.71				
1.77			1.49				
1.75			1.44				
1.70			1.34				
1.61			1.19				
1.52			1.10				
1.43			1.00				
1.35			0.89				
1.28			0.89				
1.26			0.83				
1.40			0.99				
1.51			0.87				
1.55			1.02				
1.57			1.11				
1.52			1.01				
1.50			0.95				
1.39			0.91				
1.35			0.75				
1.44			0.79				
1.52			0.81				
1.56			0.97				
1.61			0.91				
1.67			1.01				
1.84			1.07				
2.13			1.61				
2.23			1.50				
2.25			1.65				
2.22			1.61				
2.15			1.91				
2.09			1.98				
2.13			2.05				
2.42			2.20				
2.93			2.40				
3.26			2.52				
3.24			2.67				
2.99			2.67				
2.70			2.44				
2.46			2.27				
2.25			2.14				
2.12			2.02				
2.09			1.91				
2.04			1.74				
1.88			1.57				
1.72			1.48				
1.71			1.50				
1.65			2.01				
1.72			2.80				
1.87			2.78				
2.00			2.68				
2.02			2.41				
2.25			2.22				
2.49			2.03				
2.51			1.88				
2.48			1.81				
2.45			1.69				
2.43			1.42				
2.31			1.20				
2.11			1.06				
1.94			0.78				
1.87			0.85				
1.82			0.72				
1.89			0.81				
2.06			1.04				
2.17			0.92				
2.05			0.79				
1.90			0.81				
1.75			0.71				
1.66			0.71				
1.63			0.70				
1.60			0.69				
1.59			0.68				
1.63			0.81				
1.80			1.11				
1.89			1.35				
2.16			1.87				
2.50			1.68				
2.61			1.77				
2.80			1.83				
2.97			1.69				
2.88			1.56				
2.56			1.48				
2.32			1.48				
2.19			1.51				
2.09			1.55				
2.04			1.79				
2.11			1.97				
2.33			1.87				
2.46			1.65				
2.50			1.49				
2.46			1.29				
2.40			1.25				
2.20			1.07				
2.09			0.92				
2.11			1.00				
2.20			1.12				
2.14			1.22				
2.09			1.24				
2.10			1.23				
2.29			1.17				
2.43			1.55				
2.52			1.66				
2.51			1.75				
2.29			1.49				
2.14			1.38				
2.18			1.18				
2.29			1.37				
2.29			1.35				
2.12			1.22				
2.09			1.16				
2.22			1.18				
2.27			1.05				
2.26			1.05				
2.27			1.05				
2.23			0.94				
2.18			0.90				
2.15			1.12				
2.13			1.05				
2.09			1.01				
2.12			0.98				
2.01			0.95				
1.88			0.92				
1.82			0.87				
1.69			0.73				
1.63			0.70				
1.60			0.60				
1.52			0.56				
1.50			0.51				
1.46			0.44				
1.45			0.43				
1.37			0.44				
1.45			0.41				
1.63			0.47				
1.62			0.40				
1.54			0.48				
1.53			0.50				
1.58			0.42				
1.87			0.95				
1.92			0.91				
1.86			0.82				
